task_id,model,dataset,q,loss_fraction,replicate,thinning_seed,model_p3_genes,dataset_available_genes,potential_evaluated_genes,evaluated_genes,input_cells,evaluated_cells,dropped_cells,evaluated_cell_fraction,native_returned_genes,evaluated_gene_order_sha256,evaluated_source_row_order_sha256,task_summary_sha256,model_full_available_mae,model_full_available_mse,model_gene_spearman,model_masked_mae,model_masked_mse,model_n_gene_spearman_valid,model_n_masked,model_n_sample_spearman_valid,model_prediction_sd,model_recovery_index,model_sample_spearman,model_sd_ratio,model_sd_ratio_abs_error,model_target_sd,model_true_zero_mae,model_true_zero_mse,model_true_zero_positive_fraction,baseline_full_available_mae,baseline_full_available_mse,baseline_gene_spearman,baseline_masked_mae,baseline_masked_mse,baseline_n_gene_spearman_valid,baseline_n_masked,baseline_n_sample_spearman_valid,baseline_prediction_sd,baseline_recovery_index,baseline_sample_spearman,baseline_sd_ratio,baseline_sd_ratio_abs_error,baseline_target_sd,baseline_true_zero_mae,baseline_true_zero_mse,baseline_true_zero_positive_fraction,full_mse_gain_vs_corrupted,masked_mae_gain_vs_corrupted,masked_mse_gain_vs_corrupted,recovery_gain_vs_corrupted
0,scprint1,internal_test,0.85,0.15000000000000002,1,2026092101,14526,16384,14526,14526,5000,5000,0,1.0,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,cf96c4b86444e6b0dba0daa61a6630076aad838287c2aa1a8872a2901bb38b08,0.2935303747653961,0.15299758315086365,0.3115845031181097,0.5549283623695374,0.47222816944122314,13804,883635,4714,0.320043683052063,-1.0680314291113002,0.144953283329335,0.6697487040044844,0.3302512959955156,0.4778563678264618,0.27705854177474976,0.14107155799865723,1.0,0.027249479666352272,0.019855014979839325,,1.0954176187515259,1.4282867908477783,0,883635,0,0.0,-5.254904227235786,,0.0,1.0,0.4778563678264618,0.0,0.0,0.0,-0.13314256817102432,0.5404892563819885,0.9560586214065552,4.186872798124487
0,scprint1,internal_test,0.85,0.15000000000000002,2,2026092102,14526,16384,14526,14526,5000,5000,0,1.0,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,cf96c4b86444e6b0dba0daa61a6630076aad838287c2aa1a8872a2901bb38b08,0.29357320070266724,0.15302596986293793,0.30892480969442326,0.5539489984512329,0.47113993763923645,13822,882790,4717,0.3199443221092224,-1.0629170535076047,0.1483055754413323,0.6694841974277908,0.33051580257220925,0.4778967499732971,0.2770998775959015,0.1411006897687912,1.0,0.02721532993018627,0.01980230212211609,,1.0940519571304321,1.4253344535827637,0,882790,0,0.0,-5.240920194499246,,0.0,1.0,0.4778967499732971,0.0,0.0,0.0,-0.13322366774082184,0.5401029586791992,0.9541945159435272,4.178003140991642
0,scprint1,internal_test,0.85,0.15000000000000002,3,2026092103,14526,16384,14526,14526,5000,5000,0,1.0,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,cf96c4b86444e6b0dba0daa61a6630076aad838287c2aa1a8872a2901bb38b08,0.29355061054229736,0.1530042141675949,0.31104034509102535,0.5545129776000977,0.4716058075428009,13806,882656,4706,0.3199620544910431,-1.0680924947040773,0.14403647005507664,0.6700294375854102,0.3299705624145898,0.47753432393074036,0.2770780920982361,0.14107540249824524,1.0,0.027215713635087013,0.01980484649538994,,1.0944701433181763,1.4259034395217896,0,882656,0,0.0,-5.252892043065251,,0.0,1.0,0.47753432393074036,0.0,0.0,0.0,-0.13319936767220497,0.5399571657180786,0.9542976319789886,4.184799548361173
0,scprint1,internal_test,0.85,0.15000000000000002,4,2026092104,14526,16384,14526,14526,5000,5000,0,1.0,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,cf96c4b86444e6b0dba0daa61a6630076aad838287c2aa1a8872a2901bb38b08,0.2935504913330078,0.15301120281219482,0.3123237045158539,0.5549731850624084,0.47242334485054016,13778,883084,4717,0.3200688362121582,-1.0638906847869203,0.1462023094014165,0.6689922105906267,0.33100778940937325,0.47843432426452637,0.2770736813545227,0.14107629656791687,1.0,0.027228498831391335,0.01984143815934658,,1.0951865911483765,1.4283338785171509,0,883084,0,0.0,-5.240007016524026,,0.0,1.0,0.47843432426452637,0.0,0.0,0.0,-0.13316976465284824,0.540213406085968,0.9559105336666107,4.176116331737106
0,scprint1,internal_test,0.85,0.15000000000000002,5,2026092105,14526,16384,14526,14526,5000,5000,0,1.0,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,cf96c4b86444e6b0dba0daa61a6630076aad838287c2aa1a8872a2901bb38b08,0.29356271028518677,0.15302638709545135,0.3093619878177475,0.5547715425491333,0.47194918990135193,13805,882593,4700,0.31992417573928833,-1.0665539784249676,0.14738507210959198,0.6694571957390467,0.3305428042609533,0.4778859317302704,0.2770935297012329,0.1411036252975464,1.0,0.02722535841166973,0.019817624241113663,,1.094800591468811,1.4269628524780273,0,882593,0,0.0,-5.248333131940524,,0.0,1.0,0.4778859317302704,0.0,0.0,0.0,-0.1332087628543377,0.5400290489196777,0.9550136625766754,4.181779153515556
1,scprint1,internal_test,0.7,0.30000000000000004,1,2026092111,14526,16384,14526,14526,5000,4995,5,0.999,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,3e7e7c9737512007f4f8b95f670ea0dfa1fb6690d5be31bc4e6b7cba6d8e0dbf,e09d6b5ad60be1598e6ba14939119ffb93f43163003607e4a6af9c69045342d4,0.2979266345500946,0.16103270649909973,0.29837328984021305,0.549378514289856,0.4685182273387909,14091,1847462,4991,0.3284708559513092,-0.9786724621087237,0.21186311384235756,0.6750260783118599,0.3249739216881401,0.4866046905517578,0.28193190693855286,0.1465134173631668,1.0,0.05060287564992905,0.04356691986322403,,1.1114510297775269,1.4721076488494873,0,1847462,0,0.0,-5.217087609553783,,0.0,1.0,0.4866046905517578,0.0,0.0,0.0,-0.1174657866358757,0.5620725154876709,1.0035894215106964,4.238415147445059
1,scprint1,internal_test,0.7,0.30000000000000004,2,2026092112,14526,16384,14526,14526,5000,4995,5,0.999,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,f01ba02bf1b8331ce3f35450ada2733dad721abeea0c4f472e3242ae5e9a034f,e09d6b5ad60be1598e6ba14939119ffb93f43163003607e4a6af9c69045342d4,0.2979498505592346,0.16105130314826965,0.29595659118362105,0.5498352646827698,0.4691751301288605,14065,1847903,4993,0.3286399841308594,-0.9791774093859051,0.21114072796951186,0.6749867877424037,0.3250132122575963,0.48688358068466187,0.28195372223854065,0.14652343094348907,1.0,0.0506122000515461,0.04359813034534454,,1.1117212772369385,1.472980260848999,0,1847903,0,0.0,-5.213648314954382,,0.0,1.0,0.48688358068466187,0.0,0.0,0.0,-0.11745317280292511,0.5618860125541687,1.0038051307201385,4.234470905568477
1,scprint1,internal_test,0.7,0.30000000000000004,3,2026092113,14526,16384,14526,14526,5000,4995,5,0.999,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,3e7e7c9737512007f4f8b95f670ea0dfa1fb6690d5be31bc4e6b7cba6d8e0dbf,e09d6b5ad60be1598e6ba14939119ffb93f43163003607e4a6af9c69045342d4,0.29793763160705566,0.16102252900600433,0.29545890892025506,0.5498566627502441,0.46923667192459106,14101,1847580,4993,0.32838696241378784,-0.9786915977335493,0.21082317351329927,0.674340103618204,0.32565989638179604,0.4869752824306488,0.2819300889968872,0.14648787677288055,1.0,0.050595033913850784,0.04358801618218422,,1.1117676496505737,1.473172664642334,0,1847580,0,0.0,-5.212119699815319,,0.0,1.0,0.4869752824306488,0.0,0.0,0.0,-0.11743451282382011,0.5619109869003296,1.003935992717743,4.23342810208177
1,scprint1,internal_test,0.7,0.30000000000000004,4,2026092114,14526,16384,14526,14526,5000,4995,5,0.999,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,3e7e7c9737512007f4f8b95f670ea0dfa1fb6690d5be31bc4e6b7cba6d8e0dbf,e09d6b5ad60be1598e6ba14939119ffb93f43163003607e4a6af9c69045342d4,0.2979705333709717,0.1610701084136963,0.2969720138118602,0.5499348640441895,0.46939030289649963,14075,1846758,4988,0.328669935464859,-0.9792597302411288,0.2107476685110985,0.6749075977319677,0.32509240226803227,0.48698508739471436,0.28195786476135254,0.1465286910533905,1.0,0.050597358494997025,0.04356946051120758,,1.1115306615829468,1.472654938697815,0,1846758,0,0.0,-5.209686477796726,,0.0,1.0,0.48698508739471436,0.0,0.0,0.0,-0.11750064790248871,0.5615957975387573,1.0032646358013153,4.2304267475555974
1,scprint1,internal_test,0.7,0.30000000000000004,5,2026092115,14526,16384,14526,14526,5000,4995,5,0.999,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,3e7e7c9737512007f4f8b95f670ea0dfa1fb6690d5be31bc4e6b7cba6d8e0dbf,e09d6b5ad60be1598e6ba14939119ffb93f43163003607e4a6af9c69045342d4,0.29795047640800476,0.1610325425863266,0.29630608670481223,0.5496404767036438,0.4687161147594452,14104,1848343,4989,0.3286726176738739,-0.9790596948855586,0.21039707535193214,0.6753641884789052,0.3246358115210948,0.48665982484817505,0.28195250034332275,0.1465049386024475,1.0,0.050622716546058655,0.043603718280792236,,1.1117075681686401,1.4727321863174438,0,1848343,0,0.0,-5.218315990260731,,0.0,1.0,0.48665982484817505,0.0,0.0,0.0,-0.11742882430553436,0.5620670914649963,1.0040160715579987,4.2392562953751725
