model,dataset,q,loss_fraction,evaluated_genes_mean,evaluated_genes_sd,evaluated_cells_mean,evaluated_cells_sd,dropped_cells_mean,model_masked_mse_mean,model_masked_mse_sd,model_masked_mae_mean,model_masked_mae_sd,model_recovery_index_mean,model_recovery_index_sd,model_gene_spearman_mean,model_gene_spearman_sd,model_sample_spearman_mean,model_sample_spearman_sd,baseline_masked_mse_mean,baseline_recovery_index_mean,masked_mse_gain_vs_corrupted_mean,masked_mse_gain_vs_corrupted_sd,recovery_gain_vs_corrupted_mean,recovery_gain_vs_corrupted_sd,model_full_available_mse_mean,model_full_available_mse_sd,baseline_full_available_mse_mean
scprint1,baron_pancreas,0.5,0.5,13596.0,0.0,5000.0,0.0,0.0,0.6161333441734314,0.0003286177005123068,0.6769243359565735,0.00015930460829421142,-2.6897023468344474,0.0024785627968698523,0.2316405315987753,0.0023008040669124773,0.2155093734262568,0.0003215208157145104,1.8108709096908568,-9.844365219646509,1.1947375655174255,0.00025322883180864603,7.154662872812061,0.004622026376623034,0.21419589221477509,2.32209461789125e-05,0.10047905147075653
scprint1,baron_pancreas,0.7,0.30000000000000004,13596.0,0.0,5000.0,0.0,0.0,0.5881888747215271,0.0007178887657309364,0.6671876788139344,0.0003892787778519929,-3.161889781690607,0.005858939578852304,0.24089845747266322,0.0020008610645440646,0.15443705967805524,0.001347213565510664,1.6841954469680787,-10.91697920225759,1.0960065722465515,0.0005171997086313794,7.755089420566984,0.0015445131886858891,0.20140390694141388,1.2205836661207342e-05,0.05115178003907204
scprint1,baron_pancreas,0.85,0.15000000000000002,13596.0,0.0,5000.0,0.0,0.0,0.56960688829422,0.000691949941769103,0.6602865934371949,0.00046794969527716153,-3.497377693755549,0.002879509064068916,0.2503191465064232,0.0017970215244693078,0.10442720281051662,0.0010073938105004253,1.6080969333648683,-11.69686654844513,1.0384900450706482,0.0007131726513567914,8.19948885468958,0.009016324307576276,0.19419797956943513,1.4572678183768296e-05,0.02300606295466423
scprint1,internal_test,0.5,0.5,14526.0,0.0,4948.6,2.701851217221177,51.4,0.4606050431728363,0.0003151002615635133,0.5406959533691407,0.00016849134773392862,-0.8543834031644184,0.002081071272459998,0.27815815541495864,0.0010441445599370766,0.29042689450145637,0.00016196572970086993,1.5413482666015625,-5.205425386382375,1.0807432234287262,0.0005046619747802414,4.351041983217956,0.0030453595252489633,0.1736619681119919,8.208845994961105e-05,0.0841751828789711
scprint1,internal_test,0.7,0.30000000000000004,14526.0,0.0,4995.0,0.0,5.0,0.46900728940963743,0.00037129858684398936,0.5497291564941407,0.00022396788266119012,-0.9789721788709731,0.0002743265935877743,0.2966133780921523,0.0011274423543163098,0.21099435183763987,0.0005529618602399047,1.472729539871216,-5.214171618476188,1.0037222504615784,0.00030246505315119213,4.235199439605215,0.003648487478209394,0.16104183793067933,1.8917132416660236e-05,0.04358524903655052
scprint1,internal_test,0.85,0.15000000000000002,14526.0,0.0,5000.0,0.0,0.0,0.4718692898750305,0.0005107673385159613,0.5546270132064819,0.0004195959755097385,-1.065897128106974,0.002382907206931677,0.3106470700474319,0.0014544901360279735,0.14617654206735048,0.001737114135850219,1.426964282989502,-5.247411322652967,0.9550949931144714,0.0008727749494623682,4.181514194545993,0.004501188876924829,0.15301307141780854,1.2898702832900058e-05,0.01982424519956112
scprint1,zheng68k,0.5,0.5,14312.0,0.0,4731.2,4.969909455915652,268.8,1.6417491674423217,0.0008542855893566478,1.1674880266189576,0.0003025352761689835,-9.350915483961815,0.029348091105509164,0.19571785827121504,0.0023157924139379452,0.28855870257682537,0.0013512921745764748,4.971501636505127,-30.34433578331585,3.329752469062805,0.001781630374632071,20.993420299354035,0.041902834466951845,0.24704971313476562,4.9791715174734536e-05,0.07777712792158127
scprint1,zheng68k,0.7,0.30000000000000004,14312.0,0.0,4933.4,5.366563145999634,66.6,1.6995671272277832,0.0013291531332660297,1.1927690505981445,0.0005179230360196744,-11.221732399632241,0.042133759716458434,0.2371419895402826,0.0014811750962833126,0.20297454785273525,0.001199713590341191,4.859406471252441,-33.94440044135558,3.1598393440246584,0.0015724446685554602,22.72266804172334,0.07469117396351233,0.23127980530261993,7.737791143733422e-05,0.04170809611678124
scprint1,zheng68k,0.85,0.15000000000000002,14312.0,0.0,4987.4,2.408318915758379,12.6,1.724747633934021,0.0011003607753992874,1.205342984199524,0.00033797645225943534,-12.584549588855383,0.04901626893286905,0.265150635880591,0.0027976345068814216,0.14966030188717264,0.002251895421219988,4.771259593963623,-36.5796223449827,3.0465119600296022,0.003964415962745888,23.99507275612732,0.0810540646856874,0.22105047404766082,2.4964496204620382e-05,0.019409443065524102
scprint2,baron_pancreas,0.5,0.5,13596.0,0.0,5000.0,0.0,0.0,0.7432474970817566,0.0003052964521415587,0.7731780052185059,0.00014565037756980744,-3.4509228877585967,0.0024673934000995846,0.8182069420262165,0.001205703259984451,0.20918780336015544,0.00046063671419980845,1.8108709096908568,-9.844365219646509,1.0676234126091004,0.00022118979145874406,6.393442331887911,0.004333230824746035,0.32849361896514895,1.4890151128672397e-05,0.10047905147075653
