model,dataset,q,loss_fraction,model_p3_genes_mean,dataset_available_genes_mean,potential_evaluated_genes_mean,evaluated_genes_mean,input_cells_mean,evaluated_cells_mean,dropped_cells_mean,evaluated_cell_fraction_mean,native_returned_genes_mean,model_full_available_mae_mean,model_full_available_mse_mean,model_gene_spearman_mean,model_masked_mae_mean,model_masked_mse_mean,model_n_gene_spearman_valid_mean,model_n_masked_mean,model_n_sample_spearman_valid_mean,model_prediction_sd_mean,model_recovery_index_mean,model_sample_spearman_mean,model_sd_ratio_mean,model_sd_ratio_abs_error_mean,model_target_sd_mean,model_true_zero_mae_mean,model_true_zero_mse_mean,model_true_zero_positive_fraction_mean,baseline_full_available_mae_mean,baseline_full_available_mse_mean,baseline_masked_mae_mean,baseline_masked_mse_mean,baseline_n_gene_spearman_valid_mean,baseline_n_masked_mean,baseline_n_sample_spearman_valid_mean,baseline_prediction_sd_mean,baseline_recovery_index_mean,baseline_sd_ratio_mean,baseline_sd_ratio_abs_error_mean,baseline_target_sd_mean,baseline_true_zero_mae_mean,baseline_true_zero_mse_mean,baseline_true_zero_positive_fraction_mean,full_mse_gain_vs_corrupted_mean,masked_mae_gain_vs_corrupted_mean,masked_mse_gain_vs_corrupted_mean,recovery_gain_vs_corrupted_mean,model_p3_genes_sd,dataset_available_genes_sd,potential_evaluated_genes_sd,evaluated_genes_sd,input_cells_sd,evaluated_cells_sd,dropped_cells_sd,evaluated_cell_fraction_sd,native_returned_genes_sd,model_full_available_mae_sd,model_full_available_mse_sd,model_gene_spearman_sd,model_masked_mae_sd,model_masked_mse_sd,model_n_gene_spearman_valid_sd,model_n_masked_sd,model_n_sample_spearman_valid_sd,model_prediction_sd_sd,model_recovery_index_sd,model_sample_spearman_sd,model_sd_ratio_sd,model_sd_ratio_abs_error_sd,model_target_sd_sd,model_true_zero_mae_sd,model_true_zero_mse_sd,model_true_zero_positive_fraction_sd,baseline_full_available_mae_sd,baseline_full_available_mse_sd,baseline_masked_mae_sd,baseline_masked_mse_sd,baseline_n_gene_spearman_valid_sd,baseline_n_masked_sd,baseline_n_sample_spearman_valid_sd,baseline_prediction_sd_sd,baseline_recovery_index_sd,baseline_sd_ratio_sd,baseline_sd_ratio_abs_error_sd,baseline_target_sd_sd,baseline_true_zero_mae_sd,baseline_true_zero_mse_sd,baseline_true_zero_positive_fraction_sd,full_mse_gain_vs_corrupted_sd,masked_mae_gain_vs_corrupted_sd,masked_mse_gain_vs_corrupted_sd,recovery_gain_vs_corrupted_sd
scprint1,baron_pancreas,0.5,0.5,14526.0,13762.0,13596.0,13596.0,5000.0,5000.0,0.0,1.0,44733.0,0.3637974917888641,0.21419589221477509,0.2316405315987753,0.6769243359565735,0.6161333441734314,12889.2,3179447.6,5000.0,0.3392922878265381,-2.6897023468344474,0.2155093734262568,0.8302948908657287,0.16970510913427123,0.40864080786705015,0.3384653329849243,0.18278613388538362,1.0,0.09087239801883698,0.10047905147075653,1.2821400165557861,1.8108709096908568,0.0,3179447.6,0.0,0.0,-9.844365219646509,0.0,1.0,0.40864080786705015,0.0,0.0,0.0,-0.11371684074401855,0.6052156805992126,1.1947375655174255,7.154662872812061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.185580715998737e-05,2.32209461789125e-05,0.0023008040669124773,0.00015930460829421142,0.0003286177005123068,13.682105101189666,728.8726226166043,0.0,0.0001982347045802419,0.0024785627968698523,0.0003215208157145104,0.0007486893680322735,0.0007486893680322795,0.0001685218777348467,5.3282226916574516e-05,1.922503154806151e-05,0.0,1.311084724372635e-05,2.0871166220058693e-05,0.00015817462372760856,0.0005102203786164043,0.0,728.8726226166043,0.0,0.0,0.006700673113838836,0.0,0.0,0.0001685218777348467,0.0,0.0,0.0,2.091598732137261e-05,6.91225842277536e-05,0.00025322883180864603,0.004622026376623034
scprint1,baron_pancreas,0.7,0.30000000000000004,14526.0,13762.0,13596.0,13596.0,5000.0,5000.0,0.0,1.0,44733.0,0.35819168090820314,0.20140390694141388,0.24089845747266322,0.6671876788139344,0.5881888747215271,12625.4,1767197.6,5000.0,0.32588834762573243,-3.161889781690607,0.15443705967805524,0.8668733394263836,0.13312666057361638,0.3759353518486023,0.3332026779651642,0.1764120101928711,1.0,0.057595004141330716,0.05115178003907204,1.2421226263046266,1.6841954469680787,0.0,1767197.6,0.0,0.0,-10.91697920225759,0.0,1.0,0.3759353518486023,0.0,0.0,0.0,-0.15025212690234185,0.5749349474906922,1.0960065722465515,7.755089420566984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7871140978075522e-05,1.2205836661207342e-05,0.0020008610645440646,0.0003892787778519929,0.0007178887657309364,9.208691546577056,1203.9070977446931,0.0,0.00016221235379255226,0.005858939578852304,0.001347213565510664,0.00026048919209511605,0.0002604891920951412,8.561498025968962e-05,2.7628204352322015e-05,1.7424149585950195e-05,0.0,3.25645506615515e-05,5.183528139252019e-05,0.0003003089796511939,0.0007667763841205289,0.0,1203.9070977446931,0.0,0.0,0.00608118146740356,0.0,0.0,8.561498025968962e-05,0.0,0.0,0.0,5.073844267823758e-05,0.00025895880984937424,0.0005171997086313794,0.0015445131886858891
scprint1,baron_pancreas,0.85,0.15000000000000002,14526.0,13762.0,13596.0,13596.0,5000.0,5000.0,0.0,1.0,44733.0,0.35543747544288634,0.19419797956943513,0.2503191465064232,0.6602865934371949,0.56960688829422,12188.4,840535.2,4967.0,0.3187142014503479,-3.497377693755549,0.10442720281051662,0.895557660589928,0.10444233941007197,0.3558835506439209,0.3303318440914154,0.17294071316719056,1.0,0.031068823859095575,0.02300606295466423,1.2171457529067993,1.6080969333648683,0.0,840535.2,0.0,0.0,-11.69686654844513,0.0,1.0,0.3558835506439209,0.0,0.0,0.0,-0.1711919166147709,0.5568591594696045,1.0384900450706482,8.19948885468958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9329610316360236e-05,1.4572678183768296e-05,0.0017970215244693078,0.00046794969527716153,0.000691949941769103,20.525593779474576,577.7020858539424,4.847679857416329,0.00032326886470992745,0.002879509064068916,0.0010073938105004253,0.0008580796715700526,0.0008580796715700423,0.00022884199378847225,1.6834455867176874e-05,8.306855426739643e-06,0.0,1.1231467250882166e-05,6.471310574707257e-06,0.00043502693744150607,0.0011880163149618687,0.0,577.7020858539424,0.0,0.0,0.010196632153423877,0.0,0.0,0.00022884199378847225,0.0,0.0,0.0,1.615755851234126e-05,0.00024058867060171727,0.0007131726513567914,0.009016324307576276
scprint1,internal_test,0.5,0.5,14526.0,16384.0,14526.0,14526.0,5000.0,4948.6,51.4,0.9897199999999999,44733.0,0.30531044602394103,0.1736619681119919,0.27815815541495864,0.5406959533691407,0.4606050431728363,14206.6,3292272.8,4948.6,0.3431804716587067,-0.8543834031644184,0.29042689450145637,0.6885855412297757,0.3114144587702244,0.49838470220565795,0.2894205510616302,0.15498709082603454,1.0,0.0800891399383545,0.0841751828789711,1.1370844841003418,1.5413482666015625,0.0,3292272.8,0.0,0.0,-5.205425386382375,0.0,1.0,0.49838470220565795,0.0,0.0,0.0,-0.08948678523302078,0.5963885307312011,1.0807432234287262,4.351041983217956,0.0,0.0,0.0,0.0,0.0,2.701851217221177,2.70185121722126,0.000540370243444271,0.0,5.711590243800367e-05,8.208845994961105e-05,0.0010441445599370766,0.00016849134773392862,0.0003151002615635133,10.876580344943012,1606.4542321522906,2.701851217221177,0.00014716675641774526,0.002081071272459998,0.00016196572970086993,0.0001782652727173834,0.000178265272717384,0.0002831340136327131,6.32868802750851e-05,7.882618117624506e-05,0.0,2.186904222453618e-05,2.3937426354500764e-05,0.00023390448367757857,0.0007307233734432976,0.0,1606.4542321522906,0.0,0.0,0.005009831821786865,0.0,0.0,0.0002831340136327131,0.0,0.0,0.0,8.514302163410524e-05,0.00013139453172335408,0.0005046619747802414,0.0030453595252489633
scprint1,internal_test,0.7,0.30000000000000004,14526.0,16384.0,14526.0,14526.0,5000.0,4995.0,5.0,0.999,44733.0,0.29794702529907224,0.16104183793067933,0.2966133780921523,0.5497291564941407,0.46900728940963743,14087.2,1847609.2,4990.8,0.32856807112693787,-0.9789721788709731,0.21099435183763987,0.6749249511766682,0.3250750488233319,0.4868216931819916,0.2819452166557312,0.1465116709470749,1.0,0.05060603693127632,0.04358524903655052,1.1116356372833252,1.472729539871216,0.0,1847609.2,0.0,0.0,-5.214171618476188,0.0,1.0,0.4868216931819916,0.0,0.0,0.0,-0.1174565888941288,0.5619064807891846,1.0037222504615784,4.235199439605215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6405378583335392e-05,1.8917132416660236e-05,0.0011274423543163098,0.00022396788266119012,0.00037129858684398936,16.79880948162692,585.6284658381932,2.280350850198261,0.00013108104392011308,0.0002743265935877743,0.0005529618602399047,0.0003705832142363851,0.000370583214236375,0.00017847190819710225,1.314692219814368e-05,1.61440290323906e-05,0.0,1.1429883521102225e-05,1.658262887333087e-05,0.00013696290363695727,0.0004035905577240545,0.0,585.6284658381932,0.0,0.0,0.0035454028379878827,0.0,0.0,0.00017847190819710225,0.0,0.0,0.0,2.870404853894966e-05,0.00019385990177477177,0.00030246505315119213,0.003648487478209394
scprint1,internal_test,0.85,0.15000000000000002,14526.0,16384.0,14526.0,14526.0,5000.0,5000.0,0.0,1.0,44733.0,0.29355347752571104,0.15301307141780854,0.3106470700474319,0.5546270132064819,0.4718692898750305,13803.0,882951.6,4710.8,0.319988614320755,-1.065897128106974,0.14617654206735048,0.6695423490694717,0.33045765093052826,0.4779215395450592,0.2770807445049286,0.14108551442623138,1.0,0.027226876094937326,0.01982424519956112,1.0947853803634644,1.426964282989502,0.0,882951.6,0.0,0.0,-5.247411322652967,0.0,1.0,0.4779215395450592,0.0,0.0,0.0,-0.1331888262182474,0.5401583671569824,0.9550949931144714,4.181514194545993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6008763472752944e-05,1.2898702832900058e-05,0.0014544901360279735,0.0004195959755097385,0.0005107673385159613,15.811388300841745,426.21977898731706,7.529940238806691,6.381158273853445e-05,0.002382907206931677,0.001737114135850219,0.0003850722758722256,0.0003850722758722626,0.0003236564122408462,1.642727150982442e-05,1.5332127638821263e-05,0.0,1.3908383327860283e-05,2.3151796402202072e-05,0.000547314097312434,0.0013607492190865534,0.0,426.21977898731706,0.0,0.0,0.006782148288827789,0.0,0.0,0.0003236564122408462,0.0,0.0,0.0,3.2502590719050743e-05,0.00020784145872264264,0.0008727749494623682,0.004501188876924829
scprint1,zheng68k,0.5,0.5,14526.0,15683.0,14312.0,14312.0,5000.0,4731.2,268.8,0.9462400000000001,44733.0,0.340594619512558,0.24704971313476562,0.19571785827121504,1.1674880266189576,1.6417491674423217,10795.8,968681.0,4731.2,0.5493116855621338,-9.350915483961815,0.28855870257682537,1.3792850658243292,0.37928506582432925,0.3982584238052368,0.3179951310157776,0.2150746315717697,1.0,0.04248534664511681,0.07777712792158127,2.1938302516937256,4.971501636505127,0.0,968681.0,0.0,0.0,-30.34433578331585,0.0,1.0,0.3982584238052368,0.0,0.0,0.0,-0.16927258521318436,1.026342225074768,3.329752469062805,20.993420299354035,0.0,0.0,0.0,0.0,0.0,4.969909455915652,4.96990945591567,0.0009939818911831838,0.0,3.5958382310917906e-05,4.9791715174734536e-05,0.0023157924139379452,0.0003025352761689835,0.0008542855893566478,27.160633276858658,753.5967091223263,4.969909455915652,0.0005784675815014878,0.029348091105509164,0.0013512921745764748,0.000960113695265487,0.0009601136952654811,0.000501120603288901,3.392062707937604e-05,4.428151197454054e-05,0.0,2.437283492405751e-05,4.206974031962173e-05,0.00022828426435275132,0.0013672903124833727,0.0,753.5967091223263,0.0,0.0,0.0709065548574022,0.0,0.0,0.000501120603288901,0.0,0.0,0.0,6.524328563225804e-05,0.0004299857063120589,0.001781630374632071,0.041902834466951845
scprint1,zheng68k,0.7,0.30000000000000004,14526.0,15683.0,14312.0,14312.0,5000.0,4933.4,66.6,0.98668,44733.0,0.3302588820457458,0.23127980530261993,0.2371419895402826,1.1927690505981445,1.6995671272277832,10270.0,563484.4,4922.8,0.5309094309806823,-11.221732399632241,0.20297454785273525,1.423697197702082,0.42369719770208203,0.3729102373123169,0.3091637432575226,0.20486178994178772,1.0,0.025986765697598457,0.04170809611678124,2.1726351737976075,4.859406471252441,0.0,563484.4,0.0,0.0,-33.94440044135558,0.0,1.0,0.3729102373123169,0.0,0.0,0.0,-0.1895717091858387,0.9798661231994629,3.1598393440246584,22.72266804172334,0.0,0.0,0.0,0.0,0.0,5.366563145999634,5.3665631459994945,0.0010733126291998676,0.0,7.24552821350987e-05,7.737791143733422e-05,0.0014811750962833126,0.0005179230360196744,0.0013291531332660297,33.83045964807463,389.6168630847488,8.438009243891546,0.00041778737749854184,0.042133759716458434,0.001199713590341191,0.00350665509351915,0.0035066550935191447,0.0006626981227879939,7.368694692964117e-05,6.547192262634586e-05,0.0,1.973461893276251e-05,2.9799131785160787e-05,0.00018277724036411833,0.0012570351373497632,0.0,389.6168630847488,0.0,0.0,0.11523233939187338,0.0,0.0,0.0006626981227879939,0.0,0.0,0.0,8.874967679633537e-05,0.0005062207946287122,0.0015724446685554602,0.07469117396351233
scprint1,zheng68k,0.85,0.15000000000000002,14526.0,15683.0,14312.0,14312.0,5000.0,4987.4,12.6,0.99748,44733.0,0.32369509935379026,0.22105047404766082,0.265150635880591,1.205342984199524,1.724747633934021,9321.4,273416.4,3945.4,0.52025146484375,-12.584549588855383,0.14966030188717264,1.4600684261118553,0.4600684261118551,0.35632121562957764,0.30345629453659057,0.19819255471229552,1.0,0.013566972874104976,0.019409443065524102,2.1550622463226317,4.771259593963623,0.0,273416.4,0.0,0.0,-36.5796223449827,0.0,1.0,0.35632121562957764,0.0,0.0,0.0,-0.20164103098213673,0.9497192621231079,3.0465119600296022,23.99507275612732,0.0,0.0,0.0,0.0,0.0,2.408318915758379,2.4083189157584592,0.00048166378315170816,0.0,1.2680150976052644e-05,2.4964496204620382e-05,0.0027976345068814216,0.00033797645225943534,0.0011003607753992874,31.26179777300078,757.5822067604287,24.151604501564663,0.001988844579548375,0.04901626893286905,0.002251895421219988,0.006725105615067354,0.006725105615067317,0.00055984665380597,1.6841168182508613e-05,2.5983438959868452e-05,0.0,2.302147290059432e-05,4.566527267355668e-05,0.0010744188291971673,0.004556147377147593,0.0,757.5822067604287,0.0,0.0,0.12840628705800394,0.0,0.0,0.00055984665380597,0.0,0.0,0.0,4.62144778898988e-05,0.0010117237013209724,0.003964415962745888,0.0810540646856874
scprint2,baron_pancreas,0.5,0.5,14521.0,13762.0,13596.0,13596.0,5000.0,5000.0,0.0,1.0,19999.0,0.5372777462005616,0.32849361896514895,0.8182069420262165,0.7731780052185059,0.7432474970817566,12889.2,3179447.6,5000.0,0.06505570858716965,-3.4509228877585967,0.20918780336015544,0.15920028640219172,0.8407997135978083,0.40864080786705015,0.5005100727081299,0.251298314332962,1.0,0.09087239801883698,0.10047905147075653,1.2821400165557861,1.8108709096908568,0.0,3179447.6,0.0,0.0,-9.844365219646509,0.0,1.0,0.40864080786705015,0.0,0.0,0.0,-0.2280145674943924,0.5089620113372803,1.0676234126091004,6.393442331887911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.714405161195444e-06,1.4890151128672397e-05,0.001205703259984451,0.00014565037756980744,0.0003052964521415587,13.682105101189666,728.8726226166043,0.0,0.0001032967620824543,0.0024673934000995846,0.00046063671419980845,0.0002898401924027398,0.0002898401924027413,0.0001685218777348467,9.52319210626598e-06,9.085417735434497e-06,0.0,1.311084724372635e-05,2.0871166220058693e-05,0.00015817462372760856,0.0005102203786164043,0.0,728.8726226166043,0.0,0.0,0.006700673113838836,0.0,0.0,0.0001685218777348467,0.0,0.0,0.0,1.4041120147363694e-05,5.045681221497353e-05,0.00022118979145874406,0.004333230824746035
